血管データ,血管長m,血管半径（入口、出口）,,Resistance and complianc at the arterial end,,,bifurcation condition,,
血管index,Dtree,"Rtree(I,0)","Rtree(I,1)","RCtree(i,0)","RCtree(i,1)","RCtree(i,2)","mbif_par(i,0)","mbif_par(i,1)","mbif_par(i,2)"
1,0.02,0.01525,0.0142,0,0,0,1,2,3
2,0.03,0.0142,0.01342,0,0,0,1,10,11
3,0.035,0.0065,0.0062,0,0,0,1,4,5
4,0.035,0.00425,0.00407,0,0,0,1,6,7
5,0.177,0.004,0.0037,0,0,0,1,39,47
6,0.135,0.0015,0.00138,12000,0,0.0000988,2,16,56
7,0.398,0.00407,0.0023,0,0,0,1,8,9
8,0.22,0.00175,0.0014,10560,0,0.00000352,0,0,0
9,0.067,0.00215,0.00215,0,0,0,1,43,44
10,0.04,0.01342,0.01246,0,0,0,1,12,15
11,0.208,0.004,0.0037,0,0,0,1,40,48
12,0.055,0.01246,0.01124,0,0,0,1,13,14
13,0.105,0.01124,0.00924,0,0,0,1,20,25
14,0.073,0.003,0.003,2780,0,0.00001638,0,0,0
15,0.035,0.00425,0.00407,0,0,0,1,16,17
16,0.135,0.0015,0.00168,12000,0,0.0000988,3,0,0
17,0.398,0.00407,0.0023,0,0,0,1,18,19
18,0.067,0.00215,0.00215,0,0,0,1,45,46
19,0.22,0.00175,0.0014,10560,0,0.00000352,0,0,0
20,0.02,0.0035,0.003,0,0,0,1,21,22
21,0.02,0.003,0.0025,0,0,0,1,23,24
22,0.065,0.00275,0.0025,7260,0,0.000099,0,0,0
23,0.058,0.00175,0.0015,10820,0,0.000099,0,0,0
24,0.055,0.002,0.002,4640,0,0.000099,0,0,0
25,0.053,0.00924,0.00838,0,0,0,1,26,27
26,0.05,0.004,0.0035,1860,0,0.0001726,0,0,0
27,0.015,0.00838,0.00814,0,0,0,1,28,29
28,0.03,0.00275,0.00275,2260,0,0.0000617,0,0,0
29,0.015,0.00814,0.00792,0,0,0,1,30,31
30,0.03,0.00275,0.00275,2260,0,0.0000617,0,0,0
31,0.125,0.00792,0.00627,0,0,0,1,32,33
32,0.038,0.002,0.00175,13760,0,0.000074,0,0,0
33,0.08,0.00627,0.0055,0,0,0,1,34,49
34,0.058,0.004,0.0037,0,0,0,1,35,36
35,0.145,0.0037,0.00314,0,0,0,1,37,38
36,0.045,0.002,0.002,11110.4,0,0.0000675,0,0,0
37,0.113,0.002,0.002,6678,0,0.00000503,0,0,0
38,0.443,0.00314,0.00275,0,0,0,1,41,42
39,0.041,0.0025,0.002,0,0,0,1,73,75
40,0.176,0.0025,0.00089,10150,0,0.00000133,1,68,69
41,0.344,0.00175,0.00175,14826,0,0.00000417,0,0,0
42,0.322,0.0025,0.0025,6678,0,0.0000039,0,0,0
43,0.07,0.001,0.001,168600,0,3.11E-07,0,0,0
44,0.17,0.00203,0.0018,10560,0,3.52E-06,0,0,0
45,0.17,0.00203,0.0018,10560,0,3.52E-06,0,0,0
46,0.07,0.001,0.001,168600,0,3.11E-07,0,0,0
47,0.176,0.0025,0.00124,10150,0,1.33E-06,1,59,60
48,0.041,0.0025,0.002,0,0,0,1,72,74
49,0.058,0.004,0.0037,0,0,0,1,50,51
50,0.145,0.0037,0.00314,0,0,0,1,52,53
51,0.045,0.002,0.002,11110.4,0,6.75E-05,0,0,0
52,0.113,0.002,0.002,6678,0,5.03E-06,0,0,0
53,0.443,0.00314,0.00275,,0,0,1,54,55
54,0.322,0.00175,0.00175,14826,0,4.17E-06,0,0,0
55,0.344,0.0025,0.0025,6678,0,3.90E-06,0,0,0
56,0.0176,0.00141,0.00139,0,0,0,1,57,71
57,0.009,0.00102,0.00099,0,0,0,2,59,58
58,0.01,0.00083,0.00103,22160,0,3.90E-06,0,0,0
59,0.0197,0.00088,0.00048,0,0,0,3,0,0
60,0.0062,0.00146,0.00141,0,0,0,1,61,62
61,0.0072,0.00122,0.00119,11940,0,3.90E-06,0,0,0
62,0.0182,0.00087,0.0008,0,0,0,1,63,64
63,0.0105,0.00102,0.00084,16960,0,3.90E-06,0,0,0
64,0.0044,0.00082,0.00082,0,0,0,2,66,65
65,0.0086,0.0016,0.00094,16960,0,3.90E-06,0,0,0
66,0.0159,0.00078,0.00092,0,0,0,3,0,0
67,0.0125,0.00131,0.00123,11940,0,3.90E-06,0,0,0
68,0.005,0.00127,0.00136,0,0,0,1,66,67
69,0.0198,0.00086,0.00056,0,0,3.90E-06,3,0,0
70,0.019,0.00083,0.00089,22160,0,,0,0,0
71,0.008,0.00102,0.00106,0,0,0,2,69,70
72,0.061,0.002,0.00175,0,0,0,1,76,78
73,0.061,0.002,0.00175,0,0,0,1,77,79
74,0.101,0.001,0.0005,60135.936,0,0,0,0,0
75,0.101,0.001,0.0005,60135.936,0,0,0,0,0
76,0.061,0.0016,0.0015,0,0,0,1,80,82
77,0.061,0.0016,0.0015,0,0,0,1,81,83
78,0.091,0.0011,0.0005,50113.28,0,0,0,0,0
79,0.091,0.0011,0.0005,50113.28,0,0,0,0,0
80,0.1,0.0011,0.0007,50113.28,0,0,0,0,0
81,0.1,0.0011,0.0007,50113.28,0,0,0,0,0
82,0.101,0.0011,0.0007,50113.28,0,0,0,0,0
83,0.101,0.0011,0.0007,50113.28,0,0,0,0,0
