Component,non_std_PCA_750,std_PCA_0.1,non_std_PCA_250,std_PCA_0.3,non_std_PCA_75,std_PCA_1.0,non_std_PCA_25,std_PCA_3.0,tPCA,Component,non_std_PCA_750,std_PCA_0.1,non_std_PCA_250,std_PCA_0.3,non_std_PCA_75,std_PCA_1.0,non_std_PCA_25,std_PCA_3.0,tPCA
PC1,0.26268,0.27173,0.26267,0.2716,0.26266,0.2699,0.26235,0.2648,0.3459,PC1,0.26268,0.27173,0.26267,0.2716,0.26266,0.2699,0.26235,0.2648,0.3459
PC2,0.1869,0.17798,0.18621,0.17774,0.18379,0.17842,0.17686,0.1799,0.28006,PC2,0.44958,0.44971,0.44888,0.44934,0.44645,0.44832,0.43921,0.4447,0.62596
PC3,0.10827,0.11381,0.10865,0.11382,0.11001,0.11279,0.11368,0.11082,0.17841,PC3,0.55785,0.56352,0.55753,0.56316,0.55646,0.56111,0.55289,0.55552,0.80437
PC4,0.09105,0.0922,0.09104,0.09199,0.09095,0.09104,0.09014,0.08908,0.05159,PC4,0.6489,0.65572,0.64857,0.65515,0.64741,0.65215,0.64303,0.6446,0.85596
PC5,0.06945,0.07085,0.06948,0.07104,0.06951,0.07214,0.0694,0.07383,0.0318,PC5,0.71835,0.72657,0.71805,0.72619,0.71692,0.72429,0.71243,0.71843,0.88776
PC6,0.05164,0.05371,0.05173,0.05387,0.05212,0.05478,0.05392,0.05739,0.02317,PC6,0.76999,0.78028,0.76978,0.78006,0.76904,0.77907,0.76635,0.77582,0.91093
PC7,0.04587,0.0432,0.04563,0.04312,0.04476,0.04339,0.04237,0.04456,0.02014,PC7,0.81586,0.82348,0.81541,0.82318,0.8138,0.82246,0.80872,0.82038,0.93107
PC8,0.04134,0.04139,0.04132,0.04147,0.04116,0.04178,0.04012,0.04152,0.01723,PC8,0.8572,0.86487,0.85673,0.86465,0.85496,0.86424,0.84884,0.8619,0.9483
PC9,0.02392,0.02513,0.02404,0.02501,0.02455,0.02405,0.02661,0.02465,0.01004,PC9,0.88112,0.89,0.88077,0.88966,0.87951,0.88829,0.87545,0.88655,0.95834
PC10,0.02239,0.02289,0.02237,0.02296,0.02227,0.02338,0.02201,0.02149,0.00857,PC10,0.90351,0.91289,0.90314,0.91262,0.90178,0.91167,0.89746,0.90804,0.96691
PC11,0.01487,0.01433,0.01491,0.01434,0.01513,0.01449,0.01614,0.01491,,PC11,,,,,,,,,
PC12,0.01433,0.01281,0.01434,0.01285,0.01432,0.01311,0.01419,0.01412,,PC12,,,,,,,,,
PC13,0.01154,0.01081,0.01155,0.01085,0.01157,0.01104,0.01167,0.01173,,PC13,,,,,,,,,
PC14,0.00804,0.00653,0.00807,0.00656,0.00823,0.00658,0.00894,0.00691,,PC14,,,,,,,,,
PC15,0.00642,0.00631,0.00642,0.0063,0.00642,0.0063,0.0064,0.00633,,PC15,,,,,,,,,
PC16,0.00547,0.00505,0.00552,0.00506,0.00567,0.00504,0.00614,0.005,,PC16,,,,,,,,,
