PC,curvature_C0,curvature_C1,curvature_C2,curvature_C3,curvature_C4,position_C1,position_C2,position_C3
PC1,0.3459907481654585,0.24788454079397496,0.8698974006926045,0.5064543668710659,0.08235819856931188,0.06491277021459346,0.20940629520198253,0.10584346133051382
PC10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC2,0.587595510658993,0.0987917111427531,0.037842547494412425,0.2798738570915434,0.2562745567021166,0.6288181348910435,0.3953395706286058,0.06839558261715287
PC3,0.16682834354416692,0.1871887523756914,0.13091536957069247,0.03232513911077561,0.4530848859316322,0.4886711675831789,0.45287079332875346,0.5025415566328664
PC4,0.021934461857974197,0.32586240540525113,0.1057488767965309,0.04749618288017733,0.23629673361813297,0.32389071271620073,0.42046348442307385,0.11996797635071657
PC5,0.08224421571148091,0.21436951792624087,0.12539940327432647,0.17384273999115382,0.3099340851131855,0.11050094809388838,0.24483852966283864,0.009946743234608372
PC6,0.044242742620139774,0.21756829753501183,0.08040487193120179,0.3454108609314409,0.02824678820900664,0.04664718934604867,0.12794915667223927,0.3733896556122569
PC7,0.28450824029330435,0.10002472914893233,0.11470042776062185,0.20205331303393684,0.12537503980272152,0.11357335209558639,0.08093069532534072,0.13444567317488906
PC8,0.023296686398939063,0.034843807789125214,0.061865716500597724,0.030063457952348646,0.14504316257410801,0.0040378044134850265,0.051090173923072274,0.05815172659951798
PC9,0.015259087392274842,0.028007478317734286,0.018574148533570606,0.04683547913712999,0.018400635890079314,0.03657498854892184,0.028927992534440047,0.021724441355589978
