iter,Residual_Unweighted_mean,Residual_Unweighted_std,Residual_Weighted_mean,Residual_Weighted_std,Energy_Unweighted_mean,Energy_Unweighted_std,Energy_Weighted_mean,Energy_Weighted_std,Residual_delta_weighted_minus_unweighted,Energy_delta_weighted_minus_unweighted
1,0.3578264,0.08032287870986696,0.3611352,0.08037350171642392,11.4765952,0.7421686685753853,11.470240800000001,0.4959747880307629,0.0033088000000000006,-0.006354399999999316
2,0.1134844,0.037029068179472185,0.31388340000000003,0.07185044393070929,10.8684888,0.5346366895645678,11.430851800000001,0.5461888639620548,0.20039900000000005,0.5623630000000013
3,0.07425060000000001,0.015212529054696987,0.2748244,0.06789428595279576,10.7853386,0.5035328244381291,11.267735400000001,0.4833473052841405,0.20057380000000002,0.48239680000000185
4,0.09920419999999999,0.03576690965347719,0.23887840000000002,0.06225127845948226,10.619557200000003,0.3808904459943308,11.1829746,0.4906101389289054,0.13967420000000003,0.563417399999997
5,0.08141259999999999,0.02209241698502,0.20787360000000002,0.05456304553303454,10.8703404,0.4436139849412322,11.1423606,0.5429358490818597,0.12646100000000005,0.27202020000000005
6,0.09373080000000002,0.046557292238273484,0.18720799999999999,0.0408434061410162,10.836067,0.38402698705689986,11.086580399999999,0.5597197808005719,0.09347719999999997,0.2505133999999991
7,0.079149,0.026859825546715673,0.17277700000000001,0.03238982931724093,10.8897138,0.4385577995924371,10.990571599999999,0.5779351686085902,0.09362800000000002,0.10085779999999822
8,0.093104,0.0386946804457667,0.1590218,0.02115772262224836,10.7523178,0.4366584029624987,10.958372,0.5988575592238943,0.06591779999999998,0.20605420000000052
9,0.093052,0.026349557666116526,0.1468048,0.01649948861510562,10.9705434,0.3901199843902383,10.998848599999999,0.6069426839518206,0.05375280000000002,0.028305199999998365
10,0.09597640000000002,0.02947499590907521,0.1387888,0.013095261897342876,10.824816799999999,0.5216836863346986,10.9801058,0.575435278009404,0.04281239999999997,0.15528900000000156
11,0.1079842,0.026227732638564087,0.1340588,0.013350546047259642,11.015922,0.5160531511974321,10.7760842,0.3887689118349872,0.026074600000000003,-0.2398378000000001
12,0.1292796,0.013509871125958231,0.12338879999999999,0.013663751203823937,10.8407256,0.6143575947236593,10.705737800000001,0.40551535540169176,-0.005890800000000002,-0.13498779999999932
13,0.1353738,0.025930026790576207,0.1176614,0.01598847251741078,10.9082744,0.45033719078290657,10.682134399999999,0.43279280383231883,-0.01771239999999999,-0.2261400000000009
14,0.11092279999999999,0.031224153794138277,0.113926,0.020748524660804197,10.771049600000001,0.590889683363181,10.653161200000001,0.40674596291267634,0.0030032000000000114,-0.1178884
15,0.1454968,0.03536101394134506,0.11212879999999999,0.023479131929438957,10.937777,0.4611385354966552,10.615934,0.442014326650619,-0.03336800000000002,-0.3218430000000012
16,0.14054,0.03479305714650554,0.10950580000000001,0.024411829635650008,10.977971400000001,0.6672206698628573,10.6332396,0.4195654370567716,-0.031034199999999984,-0.3447318000000017
17,0.1541516,0.04108376802874829,0.1066192,0.024921436125552636,10.948834,0.5156295016846884,10.6461314,0.43891990658415136,-0.0475324,-0.30270259999999993
18,0.1465574,0.03554058687528949,0.10756479999999999,0.026889895361640957,11.0187748,0.5113543560586534,10.6846296,0.4736433087518917,-0.038992600000000016,-0.33414520000000003
19,0.16309540000000003,0.05433923128127596,0.1088614,0.030110809066512968,10.8894516,0.6429464600563871,10.707185800000001,0.46623452516492203,-0.05423400000000003,-0.18226579999999792
20,0.1861844,0.04726814756514158,0.10987740000000001,0.031376716556070675,11.0548226,0.48372823596709735,10.743712200000001,0.4634350442055072,-0.07630699999999999,-0.3111103999999987
