Model,PC,a,b,Pearson_r,Pearson_p,R2
std,PC1,0.2958260993364643,-8.90533120690887,0.3368975937767644,0.0012453700429905148,0.11349998869257372
std,PC2,0.002617665077969396,0.12054323884513223,0.0038106992002502026,0.9717273136499895,1.4521428394753677e-05
std,PC3,0.07713343948414107,-2.285492770072119,0.134552452065692,0.2087006281820412,0.01810436235689039
std,PC4,0.0400245444531434,-1.0862141679314896,0.0795265004016967,0.45880258261740514,0.006324464266141194
std,PC5,-0.017448884806742955,0.637146523432851,-0.03973612714736712,0.7115936752919683,0.0015789598006719086
std,PC6,-0.03408596342504555,0.9424132035508512,-0.0881999861216407,0.41112368226544554,0.00777923755185761
std,PC7,0.009753902963185533,-0.26406901888890766,0.028330832283346402,0.7921289112821868,0.0008026360578671232
std,PC8,0.05124503005227633,-1.4721459309907967,0.15140012174012468,0.15668969073895872,0.02292199686292462
std,PC9,0.0021310422889569062,-0.059576307757930165,0.007888051468717856,0.9415157683159185,6.222135597278022e-05
std,PC10,0.08143338491807336,-2.44586173721703,0.3211465461029621,0.0021507913080868976,0.10313510407386184
nonstd,PC1,0.25820055039219947,-7.7766072759093605,0.3015992381593994,0.004075444236072813,0.0909621004583302
nonstd,PC2,-0.00011214832446502201,0.21212462873220816,-0.00016024509887643118,0.9988108508218431,2.5678491777370027e-08
nonstd,PC3,0.10608673283309684,-3.1207478114757485,0.19171046480396342,0.07189873317893082,0.036752902315352
nonstd,PC4,0.0451372517378057,-1.2535943873385336,0.09050542263998805,0.39895488393394374,0.008191231527242882
nonstd,PC5,-0.0035386435336344515,0.23290535601641163,-0.008216850967135536,0.9390825231844596,6.75166398160787e-05
nonstd,PC6,-0.03363800779635662,0.9358398927228516,-0.0889959143702945,0.40689826467593376,0.00792027277460472
nonstd,PC7,0.050196535054080144,-1.4473463291146957,0.14291446701477728,0.18152891387439546,0.02042454488211809
nonstd,PC8,0.026806557895666303,-0.7930093502038659,0.07906230062903459,0.46143731562070023,0.006250847380755542
nonstd,PC9,-0.03562083931779341,1.0725816023027026,-0.1361837333631429,0.20318467620061814,0.018546009232723648
nonstd,PC10,-0.06645559589260121,2.0005632670605595,-0.2667830587519123,0.011496641870780875,0.07117320043702635
tPCA,PC1,0.011143003222627582,-0.34448955192643854,0.27728446203667173,0.008520527701374271,0.07688667288696638
tPCA,PC2,0.007984629408240492,-0.22644935786051232,0.2231140426812159,0.03558229673837693,0.04977987604155554
tPCA,PC3,0.005634741605126106,-0.1718954281411076,0.19199894554317065,0.0714638612994594,0.036863595089689505
tPCA,PC4,0.003060058102700918,-0.09590122081718351,0.19732419883323885,0.06380990770413454,0.03893683944517945
tPCA,PC5,-0.00220019533346435,0.06738843089100448,-0.1779224204490801,0.09529061276780992,0.03165638769845924
tPCA,PC6,-0.0005421818229649045,0.012956036306867792,-0.05247248178108969,0.6252926587679345,0.002753361344266625
tPCA,PC7,-0.0002908764169325651,0.007479421206869674,-0.029338211556342836,0.7849130065572748,0.0008607306573247264
tPCA,PC8,-0.0006072636211744414,0.01765706426210487,-0.06655232450559359,0.5354781819641532,0.004429211897097773
tPCA,PC9,0.0012582620608336467,-0.03804024646615344,0.18056309088119754,0.0903990468115385,0.03260302978857155
tPCA,PC10,0.00010914277999612896,-0.0022899688521661457,0.016946690846163376,0.8747515294666609,0.0002871903306355117
