Feature,std_result_col_0,std_result_col_1,std_result_col_2,std_result_col_3,std_result_col_4,std_result_col_5,std_result_col_6,std_result_col_7,std_result_col_8,std_result_col_9
local_max_1_curvature,-0.252048480516911,0.29477816420426806,-0.08996131260202535,0.03580108016129125,0.08339217391861516,0.04792480364224984,0.10206459430855394,-0.1817457301470587,0.16331402296415082,-0.18079515779888566
local_max_1_torsion,-0.1022746161593813,-0.3861775467153751,0.08604689496154955,-0.1399766655106838,-0.03939280792391873,-0.006620958676373869,-0.07175977570023619,0.00220011946978642,-0.11926354674036083,0.2288998637674804
local_max_2_curvature,0.034685839672445165,0.141993971985043,0.14733304183639376,-0.046862546081553214,0.17474933126872613,0.028284904880387377,0.04473874306908323,0.020051986719642038,-0.18123268310047416,0.23049898206888475
local_max_2_torsion,-0.04287051434634117,-0.43305162212447706,0.138478516526761,-0.18375257375439197,-0.13213685998278246,-0.19020092789151133,0.036591024119930204,-0.17843360009364748,-0.1281757119169775,-0.15175005408604147
local_max_3_curvature,0.2605580188979721,0.14737625137387161,0.08566220361054774,0.16779972460948214,-0.022615233651417408,0.014878953874707768,0.13290251042927798,-0.10930852577119872,-0.06750322656027705,-0.062105182523333115
local_max_3_torsion,-0.05481702825812032,-0.13241136588772315,0.07598540335396621,-0.15240165341530548,-0.13727746784497635,-0.020752323900948583,-0.26379830040568025,-0.09806031305659536,-0.16612059738014084,-0.06253989007972136
local_max_4_curvature,0.19835138192496532,0.23561850683723184,-0.5764506642167102,0.18961426185268934,-0.13445384361506657,-0.23915765599178587,0.18291330219264543,-0.5778599592404506,-0.08996339730026903,-0.3516494329896136
local_max_4_torsion,-0.35671865785396567,0.11083271200702562,-0.49829001630054415,-0.3152104138912779,-0.06655568094601005,-0.6212323677228785,-0.15870241480188851,0.04575738423304039,-0.24139059238063656,0.2522196184740811
local_min_1_curvature,0.20326966284583595,0.48784655113151987,0.019174079093775075,-0.13498815270581585,0.10104133007462097,0.19016531474703707,-0.047829177065792226,0.09426860440431022,0.0303724374214046,0.42209093201757425
local_min_1_torsion,-0.21781326269409385,-0.36627858875808467,0.0363910325270648,-0.13395172726471014,0.10353229113670416,-0.026037372464319766,-0.1364192579889907,-0.05113314472615696,-0.005321645519381055,-0.007714594046120019
local_min_2_curvature,-0.006984689118881304,-0.17474654450393468,0.11667063469252398,0.3219388675905789,0.17780396764839393,-0.17616243536374762,0.2661023588630364,0.06261611512975246,0.07340111155979784,-0.07700441884517846
local_min_2_torsion,0.054140686478453985,-0.024083414232230545,0.242026365346479,-0.06933389591194321,0.0895429842432132,-0.00411215246086471,-0.05833887135101546,-0.08123362205704376,-0.1539064110796944,-0.06847849410469985
local_min_3_curvature,-0.2148041189520449,-0.13595946659559488,0.32478534639540346,-0.10782368635641983,-0.21021187694727858,0.13334742735389685,-0.13286683843678956,0.17469105972387397,0.24236643875358,0.08571824696098242
local_min_3_torsion,-0.4540753214434147,0.03914474449181297,-0.49001367736679174,-0.13674505623041944,-0.4286262077331527,-0.39718031158767986,-0.40496998932640077,-0.24151944711992046,0.3660926163673828,-0.3815825205786809
